Trial,Rate,Trial,Rate,Trial,Rate,Trial,Rate,Trial,Rate
1,18,21,12,41,13,61,12,81,13
2,10,22,9,42,15,62,16,82,16
3,9,23,16,43,15,63,11,83,13
4,19,24,12,44,17,64,12,84,17
5,10,25,12,45,18,65,12,85,10
6,13,26,15,46,9,66,14,86,10
7,12,27,10,47,12,67,6,87,7
8,19,28,12,48,12,68,13,88,12
9,15,29,10,49,9,69,21,89,13
10,16,30,17,50,8,70,14,90,13
11,14,31,16,51,17,71,7,91,9
12,10,32,14,52,15,72,11,92,12
13,13,33,11,53,19,73,11,93,8
14,8,34,9,54,11,74,20,94,11
15,20,35,14,55,13,75,10,95,13
16,5,36,12,56,12,76,8,96,18
17,9,37,14,57,11,77,11,97,22
18,10,38,9,58,9,78,16,98,14
19,12,39,9,59,17,79,15,99,10
20,16,40,8,60,11,80,12,100,19